Identifier,Title,Description
Box2_Folder1_RIMeeting,"Meeting notes listing attendees, Women's Development Corporation, Providence, Rhode Island, November 28,1978. Document (Ms2016-012)",A list of attendees at the first Women's Development Corporation meeting held in Providence.
Box2_Folder19_Synopsis,"A synopsis of Villa Excelsior Cooperative from February 1980 to October 1981, Women's Development Corporation, 1980-1981. Document (Ms2016-012)",Synopsis of meetings and topics held to discuss the Villa Excelsior Cooperative project.
